ID,Title,Type,Lat,Long,Location
390,Papp. 4to nr 20,Source,59.858611,17.638889,Uppsala
390,Papp. 4to nr 20,Destination,59.32893,18.06491,Stockholm
391,Papp. 4to nr 21,Source,59.858611,17.638889,Uppsala
391,Papp. 4to nr 21,Destination,59.32893,18.06491,Stockholm
392,Papp. 4to nr 30,Source,59.858611,17.638889,Uppsala
392,Papp. 4to nr 30,Destination,59.32893,18.06491,Stockholm
393,Papp. 4to nr 5,Source,59.858611,17.638889,Uppsala
393,Papp. 4to nr 5,Destination,59.32893,18.06491,Stockholm
394,Papp. 4to nr 51,Source,59.858611,17.638889,Uppsala
394,Papp. 4to nr 51,Destination,59.32893,18.06491,Stockholm
395,Papp. 4to nr 52,Source,59.35,18.066667,Stockholm
395,Papp. 4to nr 52,Destination,59.32893,18.06491,Stockholm
396,Papp. 4to nr 56,Source,59.35,18.066667,Stockholm
396,Papp. 4to nr 56,Destination,59.32893,18.06491,Stockholm
397,Papp. 4to nr 6,Source,59.858611,17.638889,Uppsala
397,Papp. 4to nr 6,Destination,59.32893,18.06491,Stockholm
398,Papp. 4to nr 60,Source,59.35,18.066667,Stockholm
398,Papp. 4to nr 60,Destination,59.32893,18.06491,Stockholm
399,Papp. 4to nr 62,Source,59.858611,17.638889,Uppsala
399,Papp. 4to nr 62,Destination,59.32893,18.06491,Stockholm
400,Papp. 4to nr 7,Source,59.858611,17.638889,Uppsala
400,Papp. 4to nr 7,Destination,59.32893,18.06491,Stockholm
401,Papp. 4to nr 79 VII,Source,59.35,18.066667,Stockholm
401,Papp. 4to nr 79 VII,Destination,59.32893,18.06491,Stockholm
402,Papp. 4to nr 80,Source,59.35,18.066667,Stockholm
402,Papp. 4to nr 80,Destination,59.32893,18.06491,Stockholm
403,Papp. 8vo nr 1,Source,59.858611,17.638889,Uppsala
403,Papp. 8vo nr 1,Destination,59.32893,18.06491,Stockholm
404,Papp. 8vo nr 11,Source,59.35,18.066667,Stockholm
404,Papp. 8vo nr 11,Destination,59.32893,18.06491,Stockholm
405,Papp. 8vo nr 4,Source,59.858611,17.638889,Uppsala
405,Papp. 8vo nr 4,Destination,59.32893,18.06491,Stockholm
406,Papp. 8vo nr 6,Source,59.858611,17.638889,Uppsala
406,Papp. 8vo nr 6,Destination,59.32893,18.06491,Stockholm
407,Papp. 8vo nr 7,Source,59.858611,17.638889,Uppsala
407,Papp. 8vo nr 7,Destination,59.32893,18.06491,Stockholm
408,Papp. fol. nr 25,Source,65.147069,-21.055887,Staður
408,Papp. fol. nr 25,Destination,59.32893,18.06491,Stockholm
409,Papp. fol. nr 50,Source,59.35,18.066667,Stockholm
409,Papp. fol. nr 50,Destination,59.32893,18.06491,Stockholm
410,Papp. fol. nr 63,Source,59.858611,17.638889,Uppsala
410,Papp. fol. nr 63,Destination,59.32893,18.06491,Stockholm
411,Papp. fol. nr 68,Source,65.147069,-21.055887,Staður
411,Papp. fol. nr 68,Destination,59.32893,18.06491,Stockholm
412,Papp. fol. nr 74,Source,59.858611,17.638889,Uppsala
412,Papp. fol. nr 74,Destination,59.32893,18.06491,Stockholm
413,Papp. fol. nr 95,Source,65.147069,-21.055887,Staður
413,Papp. fol. nr 95,Destination,59.32893,18.06491,Stockholm
414,R 692,Source,59.858611,17.638889,Uppsala
414,R 692,Destination,59.858564,17.638927,Uppsala
415,R 697,Source,59.858611,17.638889,Uppsala
415,R 697,Destination,59.858564,17.638927,Uppsala
416,R 703,Source,59.858611,17.638889,Uppsala
416,R 703,Destination,59.858564,17.638927,Uppsala
417,R 704,Source,59.35,18.066667,Stockholm
417,R 704,Destination,59.858564,17.638927,Uppsala
418,R 707,Source,59.35,18.066667,Stockholm
418,R 707,Destination,59.858564,17.638927,Uppsala
419,R 709,Source,59.858611,17.638889,Uppsala
419,R 709,Destination,59.858564,17.638927,Uppsala
420,R 715,Source,59.35,18.066667,Stockholm
420,R 715,Destination,59.858564,17.638927,Uppsala
421,R 716,Source,59.35,18.066667,Stockholm
421,R 716,Destination,59.858564,17.638927,Uppsala
